$t$,w_0, (EKF), (VApre), (VAEM)
332,-0.036263894,-0.17020312,-0.16990165,-0.16962269
333,-0.006141398,-0.19356528,-0.19332223,-0.19303611
334,-0.0018712208,-0.17145728,-0.17119657,-0.17092168
335,0.010338816,-0.17289732,-0.1726405,-0.17236453
336,-0.008013795,-0.19047971,-0.1902591,-0.1899763
337,0.0033872537,-0.19480574,-0.19459234,-0.19430777
338,0.026698876,-0.2150362,-0.2148718,-0.2145789
339,0.061734628,-0.18468502,-0.18448128,-0.18420176
340,0.03536173,-0.24647991,-0.2466135,-0.24632539
341,0.0049243793,-0.23145463,-0.23156041,-0.23127483
342,0.036397513,-0.20094775,-0.20100312,-0.20072442
343,0.044441506,-0.20826165,-0.20831583,-0.2080362
344,0.08275471,-0.15986755,-0.15987393,-0.15960786
345,0.074380845,-0.07376612,-0.07384781,-0.073615335
346,0.11308199,-0.09187695,-0.092002824,-0.091759995
347,0.1244556,-0.019977927,-0.019987788,-0.01980115
348,0.11523423,0.03386593,0.03404862,0.034192536
349,0.10594541,0.011416161,0.011488189,0.011642184
350,0.14717126,-0.036061563,-0.03616447,-0.035984028
351,0.16484974,-0.041263264,-0.041347306,-0.041162394
352,0.12151923,-0.059511654,-0.059667196,-0.05947144
353,0.17909206,-0.06763055,-0.06778584,-0.06758481
354,0.2070724,-0.03374316,-0.033785336,-0.033606876
355,0.2096115,-0.068542466,-0.06869772,-0.06850166
356,0.20609286,-0.111829184,-0.11215787,-0.11194152
357,0.21063404,-0.11758104,-0.117953524,-0.11773448
358,0.20076331,-0.09314714,-0.09342049,-0.093214884
359,0.19269076,-0.12652043,-0.12694384,-0.12672333
360,0.1720214,-0.14334495,-0.14379159,-0.14356294
361,0.17773816,-0.16138223,-0.16186179,-0.161625
362,0.18046512,-0.18065594,-0.18116765,-0.18092306
363,0.16803972,-0.2068607,-0.20744611,-0.207194
364,0.18258438,-0.2183087,-0.21898189,-0.2187214
365,0.18584728,-0.21438447,-0.21505807,-0.21479839
366,0.2012496,-0.18292329,-0.1835904,-0.18334284
367,0.20885363,-0.21183608,-0.21257518,-0.21231803
368,0.15147965,-0.27911186,-0.2806727,-0.28041312
369,0.10966935,-0.24313599,-0.24470629,-0.24442719
370,0.07094999,-0.25256857,-0.25409174,-0.25381792
371,0.08809714,-0.2610596,-0.26256138,-0.2622928
372,0.07374364,-0.27606502,-0.27760434,-0.27734473
373,0.047021385,-0.29005897,-0.29161587,-0.29136452
374,0.018390207,-0.2552864,-0.256735,-0.25646755
375,0.07501547,-0.2885006,-0.29004005,-0.289793
376,0.053514145,-0.28047982,-0.2820267,-0.28177592
377,0.035199232,-0.2655859,-0.26711625,-0.26685864
378,0.013310473,-0.27326342,-0.27487803,-0.27462432
379,0.014223144,-0.22651714,-0.22806647,-0.22779535
380,0.010577683,-0.23351997,-0.23511061,-0.23484252
381,0.012686424,-0.23062435,-0.23218557,-0.23191626
382,0.03782998,-0.21375331,-0.21523017,-0.21495405
383,0.040759858,-0.2283385,-0.22980165,-0.22953263
384,0.063830495,-0.17253976,-0.17405722,-0.17377365
385,0.06312977,-0.18134016,-0.18286301,-0.18258192
386,0.011504162,-0.19960395,-0.20109114,-0.20081428
387,0.012814939,-0.1748301,-0.1762987,-0.17601821
388,0.057020288,-0.16386707,-0.16540258,-0.16512424
389,0.09013555,-0.1698515,-0.17131543,-0.1710346
390,0.069225974,-0.14550667,-0.14697585,-0.14669323
391,0.05218314,-0.13348307,-0.13501425,-0.13473375
392,0.024946263,-0.12011363,-0.1216126,-0.12132813
393,0.04987479,-0.12378569,-0.12519768,-0.12490856
394,0.04443842,-0.1424663,-0.14384581,-0.14356093
395,0.028624956,-0.16697416,-0.16832374,-0.1680454
396,0.040476345,-0.19757123,-0.19902658,-0.19875789
397,0.09025991,-0.2067636,-0.20827547,-0.20800775
398,0.17188206,-0.2409493,-0.24244912,-0.24219471
399,0.1751948,-0.20913526,-0.21060456,-0.21034497
400,0.10113705,-0.27362832,-0.27541062,-0.27517343
401,0.1566081,-0.28570706,-0.28757825,-0.28734407
402,0.17228591,-0.29981983,-0.30163416,-0.30140537
403,0.15169327,-0.245928,-0.24771453,-0.24747686
404,0.14125098,-0.2636417,-0.26538154,-0.2651485
405,0.12051456,-0.22941501,-0.2308503,-0.23061298
406,0.10908113,-0.22875415,-0.23036373,-0.23013052
407,0.109228306,-0.23290357,-0.23435336,-0.23411708
408,0.14456263,-0.25667715,-0.2581683,-0.25793883
409,0.13878642,-0.27004945,-0.2716159,-0.2713904
410,0.17357913,-0.28991103,-0.29161724,-0.29139796
411,0.20737174,-0.2482503,-0.24987076,-0.2496458
412,0.19806516,-0.22832045,-0.22993118,-0.22970396
413,0.19704565,-0.2834328,-0.28537658,-0.28517374
414,0.21894452,-0.32859483,-0.33067667,-0.33050606
415,0.22980596,-0.3459645,-0.34808415,-0.34792554
416,0.23727255,-0.3678785,-0.3699821,-0.36984196
417,0.20583272,-0.3763117,-0.37846187,-0.3783256
418,0.1894502,-0.33262992,-0.33466738,-0.33450866
419,0.15957668,-0.31135368,-0.3134149,-0.31323957
420,0.14644185,-0.312877,-0.31514663,-0.31495687
421,0.12625456,-0.3233203,-0.3257585,-0.3255634
422,0.1273512,-0.288405,-0.2909262,-0.29070333
423,0.17291044,-0.30717167,-0.30993444,-0.3097082
424,0.15535228,-0.26105404,-0.26402768,-0.26376715
425,0.16926004,-0.1702515,-0.1734874,-0.17319897
426,0.1815382,-0.13772467,-0.14107336,-0.140798
427,0.1477179,-0.109131604,-0.11246868,-0.112202205
428,0.121162064,-0.11099612,-0.11436819,-0.11410148
429,0.13775706,-0.1054757,-0.108928725,-0.1086642
430,0.13327716,-0.074830666,-0.078264885,-0.078009784
431,0.16884238,-0.04578148,-0.049220763,-0.048975863
432,0.16537361,-0.09135661,-0.09456823,-0.09432228
433,0.19950768,-0.1473441,-0.15046217,-0.1502151
434,0.20190102,-0.16449551,-0.16763362,-0.16738456
435,0.19727027,-0.18356672,-0.18660508,-0.18635412
436,0.16115104,-0.18018144,-0.18319534,-0.18294449
437,0.13884889,-0.19024651,-0.19323999,-0.19298767
438,0.14380077,-0.15935224,-0.16228499,-0.1620391
439,0.1699845,-0.16171062,-0.1646988,-0.16445321
440,0.1556774,-0.18798208,-0.19089246,-0.19064541
441,0.14618623,-0.15584101,-0.15866551,-0.15842217
442,0.098709404,-0.16892108,-0.17164527,-0.17140222
443,0.10079918,-0.091624945,-0.094340414,-0.09412504
444,0.07401117,-0.08331817,-0.086063445,-0.085857965
445,0.06570671,-0.051526587,-0.054232165,-0.0540555
446,0.07769814,-0.054190904,-0.0568453,-0.056660566
447,0.110093355,-0.034717824,-0.037334416,-0.037160527
448,0.13838346,-0.025750233,-0.028344134,-0.028173503
449,0.075772695,-0.062631845,-0.06517738,-0.06498859
450,0.063577,-0.046071924,-0.048570655,-0.048386388
451,0.12263164,-0.039268512,-0.041761514,-0.041581605
452,0.1473151,-0.047580644,-0.05010132,-0.049919486
453,0.16424766,-0.005664008,-0.008077769,-0.007921131
454,0.18970625,0.031992592,0.02969045,0.029835096
455,0.24079236,-0.03987728,-0.042206552,-0.04204038
456,0.27703282,-0.056787744,-0.05912294,-0.05894729
457,0.24913944,-0.04257777,-0.044860482,-0.044689585
458,0.22966218,-0.04255262,-0.044833064,-0.044661902
459,0.23707889,-0.079158954,-0.08152118,-0.081337355
